,Date,IPO_Name,Issue Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Total_Subscription,Issue Price,Listing Open,Listing Close,Listing Gain Percent
414,2011-06-14,VMS Industries,25.75,0,1.11,3.41,1.36,40,43.95,28.5,-28.75
367,2015-08-26,Power Mech,273.22,27.53,133.22,3.42,38.12,640,600,585.75,-8.48
444,2010-10-14,Ashoka Buildcon,225,25.52,13.91,3.46,15.94,324,333.55,73.33,-77.37
321,2017-06-29,Eris Life,1741.1,4.68,0.45,3.51,3.29,603,612,601.05,-0.32
318,2017-07-10,AU Small Financ,1912.51,78.77,143.51,3.52,53.6,358,544,541.2,51.17
382,2013-06-05,Just Dial,950,10.12,22.34,3.53,11.63,530,590,611.45,15.37
249,2021-01-29,Indian Railway Finance Corporation Ltd.,4633,3.8,2.7,3.7,3.5,26,25,24.9,-4.4
488,2010-02-08,Jubilant Food,328.7,59.39,51.95,3.79,31.11,145,160,114.5,-21.03
40,2024-08-08,Ceigall India Ltd.,1252.7,31.5,14.4,3.8,13.8,401,419,386.8,-3.5
125,2023-08-18,Concord Biotech Ltd.,1551,67.7,17,3.8,24.9,741,900,942.8,27.2
353,2016-02-18,Quick Heal Tech,450,4.34,36.69,3.82,10.8,321,305,254.45,-20.73
39,2024-08-09,Ola Electric Mobility Ltd.,6145.6,5.3,2.4,3.9,4.3,76,76,91.2,20
184,2022-02-08,Adani Wilmar Ltd.,3600,5.7,56.3,3.9,17.4,230,274,265.2,15.3
63,2024-03-14,Gopal Snacks Ltd.,650,17.5,9.5,4,9,401,351,362.7,-9.6
349,2016-05-10,Ujjivan Financi,358.16,33.84,135.45,4.02,40.68,210,231.9,231.6,10.29
152,2022-11-22,Kaynes Technology India Ltd.,857.8,98.5,21.2,4.1,34.1,587,778,690,17.5
57,2024-04-30,JNK India Ltd.,649.5,75.7,23.3,4.1,28.1,415,621,694.5,67.4
410,2011-07-13,Kridhan Infra,34.75,0.03,1.37,4.18,1.68,108,115,13.29,-87.69
12,2024-11-12,Sagility India Ltd.,2106.6,3.5,1.9,4.2,3.2,30,31.1,29.3,-2.3
357,2015-12-23,Dr Lal PathLab,638,63.56,61.28,4.24,33.41,550,717,824.15,49.85
257,2020-10-05,Angel One Ltd.,600,5.7,0.7,4.3,3.9,306,275,275.9,-9.8
140,2023-03-14,Divgi Torqtransfer Systems Ltd.,412.1,7.8,1.4,4.3,5.4,590,620,605.2,2.6
53,2024-05-23,Go Digit General Insurance Ltd.,2615,12.6,7.2,4.3,9.6,272,286,306,12.5
426,2011-03-11,Fineotex Chem,30.32,0,0.22,4.38,1.57,70,80,14.09,-79.87
46,2024-07-02,Allied Blenders & Distillers Ltd.,1500,50.4,32.4,4.5,23.6,281,320,317.9,13.1
274,2019-04-18,Polycab India Ltd.,1346,92.4,110.4,4.5,51.9,538,633,654.8,21.7
475,2010-03-30,ILandFS Trans,700,52.61,39.39,4.56,33.42,258,287,253.68,-1.67
148,2022-12-12,Uniparts India Ltd.,835.6,67.1,17.9,4.6,25.3,577,575,539.6,-6.5
401,2011-10-04,Setubandhan Inf,60,0.31,2.76,4.68,2.21,138,145,22.95,-83.37
151,2022-11-23,Inox Green Energy Services Ltd.,740,1.1,0.5,4.7,1.6,65,60,59.1,-9.1
368,2015-08-11,Syngene Intl,550,51.47,90.24,4.78,32.05,250,295,155.2,-37.92
155,2022-11-16,Bikaji Foods International Ltd.,881.2,80.6,7.1,4.8,26.7,300,322.8,317.4,5.8
429,2011-01-20,C Mahendra Expo,165,1.02,3.92,4.82,2.78,110,111,55.43,-49.61
159,2022-10-20,Tracxn Technologies Ltd.,309.4,1.7,0.8,4.9,2,80,84.5,93.3,16.6
409,2011-07-28,Bharatiya Glob,55.1,0,1.94,5.06,2.06,82,84,30.95,-62.26
139,2023-03-23,Global Surfaces Ltd.,155,8.9,33.1,5.1,12.2,140,164,171.1,22.2
313,2017-09-18,Bharat Road Net,600.65,1.33,1.63,5.16,1.75,205,205,208.15,1.54
295,2018-01-29,Newgen Software,424.62,15.62,5.52,5.18,8.25,245,256,253,3.27
